Date,State,New_cases
30/05/2021,An Giang,0
30/05/2021,Ba Ria - Vung Tau,0
30/05/2021,Bac Giang,124
30/05/2021,Bac Kan,0
30/05/2021,Bac Lieu,0
30/05/2021,Bac Ninh,43
30/05/2021,Ben Tre,0
30/05/2021,Binh Dinh,0
30/05/2021,Binh Duong,0
30/05/2021,Binh Phuoc,0
30/05/2021,Binh Thuan,0
30/05/2021,Ca Mau,0
30/05/2021,Can Tho,0
30/05/2021,Cao Bang,0
30/05/2021,Da Nang,1
30/05/2021,Dak Lak,0
30/05/2021,Dak Nong,0
30/05/2021,Dien Bien,0
30/05/2021,Dong Nai,0
30/05/2021,Dong Thap,0
30/05/2021,Gia Lai,0
30/05/2021,Ha Giang,0
30/05/2021,Ha Nam,0
30/05/2021,Ha Tinh,0
30/05/2021,Hai Duong,1
30/05/2021,Hai Phong,1
30/05/2021,Hanoi,20
30/05/2021,Hau Giang,0
30/05/2021,Ho Chi Minh City,59
30/05/2021,Hoa Binh,0
30/05/2021,Hung Yen,0
30/05/2021,Khanh Hoa,0
30/05/2021,Kien Giang,0
30/05/2021,Kon Tum,0
30/05/2021,Lai Chau,0
30/05/2021,Lam Dong,0
30/05/2021,Lang Son,0
30/05/2021,Lao Cai,0
30/05/2021,Long An,1
30/05/2021,Nam Dinh,0
30/05/2021,Nghe An,0
30/05/2021,Ninh Binh,0
30/05/2021,Ninh Thuan,0
30/05/2021,Phu Tho,0
30/05/2021,Phu Yen,0
30/05/2021,Quang Binh,0
30/05/2021,Quang Nam,0
30/05/2021,Quang Ngai,0
30/05/2021,Quang Ninh,0
30/05/2021,Quang Tri,0
30/05/2021,Soc Trang,0
30/05/2021,Son La,0
30/05/2021,Tay Ninh,0
30/05/2021,Thai Binh,0
30/05/2021,Thai Nguyen,0
30/05/2021,Thanh Hoa,0
30/05/2021,Hue,0
30/05/2021,Tien Giang,0
30/05/2021,Tra Vinh,0
30/05/2021,Tuyen Quang,0
30/05/2021,Vinh Long,0
30/05/2021,Vinh Phuc,0
30/05/2021,Yen Bai,0
31/05/2021,An Giang,0
31/05/2021,Ba Ria - Vung Tau,0
31/05/2021,Bac Giang,134
31/05/2021,Bac Kan,0
31/05/2021,Bac Lieu,0
31/05/2021,Bac Ninh,38
31/05/2021,Ben Tre,0
31/05/2021,Binh Dinh,0
31/05/2021,Binh Duong,3
31/05/2021,Binh Phuoc,0
31/05/2021,Binh Thuan,0
31/05/2021,Ca Mau,0
31/05/2021,Can Tho,0
31/05/2021,Cao Bang,0
31/05/2021,Da Nang,1
31/05/2021,Dak Lak,1
31/05/2021,Dak Nong,0
31/05/2021,Dien Bien,0
31/05/2021,Dong Nai,0
31/05/2021,Dong Thap,0
31/05/2021,Gia Lai,0
31/05/2021,Ha Giang,0
31/05/2021,Ha Nam,0
31/05/2021,Ha Tinh,0
31/05/2021,Hai Duong,0
31/05/2021,Hai Phong,0
31/05/2021,Hanoi,28
31/05/2021,Hau Giang,0
31/05/2021,Ho Chi Minh City,0
31/05/2021,Hoa Binh,0
31/05/2021,Hung Yen,0
31/05/2021,Khanh Hoa,0
31/05/2021,Kien Giang,0
31/05/2021,Kon Tum,0
31/05/2021,Lai Chau,0
31/05/2021,Lam Dong,0
31/05/2021,Lang Son,3
31/05/2021,Lao Cai,0
31/05/2021,Long An,2
31/05/2021,Nam Dinh,0
31/05/2021,Nghe An,0
31/05/2021,Ninh Binh,0
31/05/2021,Ninh Thuan,0
31/05/2021,Phu Tho,0
31/05/2021,Phu Yen,0
31/05/2021,Quang Binh,0
31/05/2021,Quang Nam,0
31/05/2021,Quang Ngai,0
31/05/2021,Quang Ninh,0
31/05/2021,Quang Tri,0
31/05/2021,Soc Trang,0
31/05/2021,Son La,0
31/05/2021,Tay Ninh,0
31/05/2021,Thai Binh,0
31/05/2021,Thai Nguyen,0
31/05/2021,Thanh Hoa,0
31/05/2021,Hue,0
31/05/2021,Tien Giang,0
31/05/2021,Tra Vinh,1
31/05/2021,Tuyen Quang,0
31/05/2021,Vinh Long,0
31/05/2021,Vinh Phuc,0
31/05/2021,Yen Bai,0
01/06/2021,An Giang,0
01/06/2021,Ba Ria - Vung Tau,0
01/06/2021,Bac Giang,124
01/06/2021,Bac Kan,0
