Date,State,Ch1,Ch2,Dose1,Dose2,Percentage1,Percentage2,Populationover18
26/08/2021,Bac Giang,"373,378","32,987","373,378","32,987",29.46,2.60,"1,267,538"
26/08/2021,Bac Kan,"23,353","7,754","23,353","7,754",10.50,3.49,"222,390"
26/08/2021,Cao Bang,"60,150","36,055","60,150","36,055",16.30,9.77,"368,973"
26/08/2021,Ha Giang,"61,762","29,264","61,762","29,264",11.62,5.51,"531,581"
26/08/2021,Lang Son,"96,004","72,382","96,004","72,382",17.36,13.09,"552,860"
26/08/2021,Phu Tho,"77,021","32,379","77,021","32,379",7.48,3.15,"1,029,489"
26/08/2021,Quang Ninh,"174,318","110,223","174,318","110,223",18.63,11.78,"935,854"
26/08/2021,Thai Nguyen,"84,670","33,405","84,670","33,405",9.20,3.63,"920,574"
26/08/2021,Tuyen Quang,"46,476","22,960","46,476","22,960",8.68,4.29,"535,735"
26/08/2021,Lao Cai,"73,940","24,033","73,940","24,033",15.89,5.16,"465,394"
26/08/2021,Yen Bai,"49,949","31,189","49,949","31,189",8.84,5.52,"564,852"
26/08/2021,Dien Bien,"83,924","17,107","83,924","17,107",23.28,4.74,"360,552"
26/08/2021,Hoa Binh,"52,634","21,321","52,634","21,321",8.80,3.57,"597,953"
26/08/2021,Lai Chau,"36,016","23,223","36,016","23,223",13.35,8.61,"269,707"
26/08/2021,Son La,"68,995","28,807","68,995","28,807",8.70,3.63,"792,702"
26/08/2021,Bac Ninh,"303,319","73,967","303,319","73,967",30.79,7.51,"985,257"
26/08/2021,Ha Nam,"47,849","24,447","47,849","24,447",7.82,3.99,"612,219"
26/08/2021,Hai Duong,"135,125","57,159","135,125","57,159",9.88,4.18,"1,367,571"
26/08/2021,Hung Yen,"93,883","19,748","93,883","19,748",10.46,2.20,"897,430"
26/08/2021,Nam Dinh,"78,682","19,174","78,682","19,174",6.18,1.51,"1,272,614"
26/08/2021,Ninh Binh,"52,253","16,946","52,253","16,946",7.51,2.44,"695,394"
26/08/2021,Thai Binh,"79,018","26,370","79,018","26,370",5.75,1.92,"1,373,070"
26/08/2021,Vinh Phuc,"80,349","15,709","80,349","15,709",10.17,1.99,"789,896"
26/08/2021,Hanoi,"2,545,041","266,639","2,545,041","266,639",44.29,4.64,"5,745,728"
26/08/2021,Hai Phong,"97,020","26,510","97,020","26,510",6.45,1.76,"1,503,831"
26/08/2021,Ha Tinh,"100,818","10,610","100,818","10,610",11.29,1.19,"892,702"
26/08/2021,Nghe An,"122,935","44,293","122,935","44,293",5.30,1.91,"2,319,465"
26/08/2021,Quang Binh,"53,470","20,587","53,470","20,587",8.67,3.34,"616,856"
26/08/2021,Quang Tri,"55,459","5,523","55,459","5,523",12.98,1.29,"427,306"
26/08/2021,Thanh Hoa,"112,046","34,250","112,046","34,250",4.30,1.31,"2,605,729"
26/08/2021,Hue,"63,578","29,544","63,578","29,544",7.90,3.67,"805,048"
26/08/2021,Dak Lak,"96,174","31,728","96,174","31,728",7.63,2.52,"1,259,652"
26/08/2021,Dak Nong,"45,806","15,949","45,806","15,949",11.66,4.06,"392,984"
26/08/2021,Gia Lai,"73,816","31,516","73,816","31,516",7.72,3.29,"956,614"
26/08/2021,Kon Tum,"46,008","20,026","46,008","20,026",13.85,6.03,"332,276"
26/08/2021,Lam Dong,"98,203","11,057","98,203","11,057",11.00,1.24,"892,554"
26/08/2021,Binh Dinh,"76,176","27,181","76,176","27,181",7.13,2.54,"1,068,887"
26/08/2021,Binh Thuan,"60,333","26,126","60,333","26,126",6.97,3.02,"865,494"
26/08/2021,Khanh Hoa,"132,430","33,797","132,430","33,797",14.84,3.79,"892,222"
26/08/2021,Ninh Thuan,"51,439","16,348","51,439","16,348",12.81,4.07,"401,680"
26/08/2021,Phu Yen,"113,498","24,590","113,498","24,590",18.42,3.99,"616,333"
26/08/2021,Quang Nam,"91,561","27,299","91,561","27,299",8.57,2.55,"1,068,985"
26/08/2021,Quang Ngai,"102,627","23,047","102,627","23,047",11.62,2.61,"883,502"
26/08/2021,Da Nang,"128,268","34,525","128,268","34,525",15.51,4.18,"826,933"
26/08/2021,Ba Ria - Vung Tau,"204,419","25,733","204,419","25,733",24.83,3.13,"823,118"
26/08/2021,Binh Duong,"677,890","42,355","677,890","42,355",36.28,2.27,"1,868,570"
26/08/2021,Binh Phuoc,"111,902","35,106","111,902","35,106",16.54,5.19,"676,731"
26/08/2021,Dong Nai,"576,153","58,209","576,153","58,209",25.72,2.60,"2,240,028"
26/08/2021,Tay Ninh,"175,827","22,692","175,827","22,692",20.15,2.60,"872,730"
26/08/2021,Ho Chi Minh City,"5,598,834","187,752","5,598,834","187,752",80.37,2.70,"6,966,626"
26/08/2021,An Giang,"131,319","44,283","131,319","44,283",9.57,3.23,"1,371,662"
26/08/2021,Bac Lieu,"97,603","11,871","97,603","11,871",14.54,1.77,"671,082"
26/08/2021,Ben Tre,"138,789","12,331","138,789","12,331",14.15,1.26,"980,652"
26/08/2021,Ca Mau,"127,092","10,785","127,092","10,785",14.82,1.26,"857,571"
26/08/2021,Dong Thap,"295,306","20,970","295,306","20,970",25.00,1.78,"1,181,264"
26/08/2021,Hau Giang,"85,594","7,148","85,594","7,148",15.96,1.33,"536,163"
26/08/2021,Kien Giang,"224,887","38,470","224,887","38,470",18.01,3.08,"1,248,338"
26/08/2021,Long An,"535,901","43,185","535,901","43,185",42.47,3.42,"1,261,735"
26/08/2021,Soc Trang,"124,573","26,368","124,573","26,368",14.46,3.06,"861,361"
26/08/2021,Tien Giang,"265,168","15,254","265,168","15,254",20.05,1.15,"1,322,325"
26/08/2021,Tra Vinh,"105,379","10,049","105,379","10,049",14.34,1.37,"734,794"
26/08/2021,Vinh Long,"183,951","27,957","183,951","27,957",23.92,3.64,"769,026"
26/08/2021,Can Tho,"239,998","9,985","239,998","9,985",25.48,1.06,"941,769"
27/08/2021,Bac Giang,0,0,"373,378","32,987",29.46,2.60,
27/08/2021,Bac Kan,225,585,"23,578","8,339",10.60,3.75,
27/08/2021,Cao Bang,145,"1,023","60,295","37,078",16.34,10.05,
27/08/2021,Ha Giang,84,"5,207","61,846","34,471",11.63,6.48,
27/08/2021,Lang Son,247,"2,625","96,251","75,007",17.41,13.57,
27/08/2021,Phu Tho,399,"5,443","77,420","37,822",7.52,3.67,
27/08/2021,Quang Ninh,156,857,"174,474","111,080",18.64,11.87,
27/08/2021,Thai Nguyen,0,0,"84,670","33,405",9.20,3.63,
27/08/2021,Tuyen Quang,0,"1,327","46,476","24,287",8.68,4.53,
27/08/2021,Lao Cai,75,540,"74,015","24,573",15.90,5.28,
27/08/2021,Yen Bai,0,"2,399","49,949","33,588",8.84,5.95,
27/08/2021,Dien Bien,0,"1,023","83,924","18,130",23.28,5.03,
27/08/2021,Hoa Binh,0,0,"52,634","21,321",8.80,3.57,
27/08/2021,Lai Chau,0,707,"36,016","23,930",13.35,8.87,
27/08/2021,Son La,150,"3,244","69,145","32,051",8.72,4.04,
27/08/2021,Bac Ninh,0,"1,907","303,319","75,874",30.79,7.70,
27/08/2021,Ha Nam,290,"1,094","48,139","25,541",7.86,4.17,
27/08/2021,Hai Duong,"1,125","3,231","136,250","60,390",9.96,4.42,
27/08/2021,Hung Yen,159,296,"94,042","20,044",10.48,2.23,
27/08/2021,Nam Dinh,693,"1,441","79,375","20,615",6.24,1.62,
27/08/2021,Ninh Binh,0,347,"52,253","17,293",7.51,2.49,
27/08/2021,Thai Binh,0,"1,700","79,018","28,070",5.75,2.04,
27/08/2021,Vinh Phuc,0,0,"80,349","15,709",10.17,1.99,
27/08/2021,Hanoi,"14,311","11,925","2,559,352","278,564",44.54,4.85,
27/08/2021,Hai Phong,0,0,"97,020","26,510",6.45,1.76,
27/08/2021,Ha Tinh,0,0,"100,818","10,610",11.29,1.19,
27/08/2021,Nghe An,0,0,"122,935","44,293",5.30,1.91,
27/08/2021,Quang Binh,6,608,"53,476","21,195",8.67,3.44,
27/08/2021,Quang Tri,262,0,"55,721","5,523",13.04,1.29,
