Date,Test,ppl_in_sample,Positive_Rate,New_Cases,Local_Acquired,Oversea_Acquired,Confirmed_Cases,Total_Local_Cases,Total_Local_cases,Total_Oversea_Cases,Deceased,Recoveries,Active_Cases,ch_deceased,ch_recoveries,ch_active_cases,Cases_in_community,ICU_Critical,ECMO,Vaccination,Total_Vaccination,Dose1,Dose2
06/08/2021,"140,376","393,599",2.11%,"8,324","8,320",4,"193,381","191,043","193,299","2,338","3,016","62,332","128,020",296,"4,292",,"1,486",518,18,,"8,061,116","7,241,093","820,023"
07/08/2021,,,,"7,334","7,333",1,"200,715","198,376","200,632","2,339","3,016","66,637","131,058",0,"4,305","3,038","1,281",512,19,"467,151","8,528,267","7,664,944","863,323"
08/08/2021,"293,246","636,766",1.52%,"9,690","9,684",6,"210,405","208,060","210,316","2,345","3,231","71,497","135,784",381,"4,860","4,726","2,155",501,20,"368,348","8,896,615","8,008,156","888,459"
09/08/2021,"138,751","327,580",2.85%,"9,340","9,323",17,"219,745","217,383","219,639","2,362","3,757","75,920","140,064",360,"4,423","4,280","1,556",509,23,"599,941","9,987,587","8,984,300","1,003,287"
10/08/2021,"112,282","340,648",2.46%,"8,390","8,385",5,"228,135","225,768","228,024","2,367","4,145","80,348","143,638",388,"4,428","3,574","1,115",491,20,,"9,987,587","8,984,300","1,003,287"
11/08/2021,119429,"169,214",5.18%,"8,766","8,752",14,"236,901","234,520","236,776","2,381","4,487","85,154","147,256",342,"4,806","3,618","1,786",489,21,"1,354,277","11,341,864","10,305,762","1,036,102"
12/08/2021,"154,552","505,877",1.91%,"9,667","9,653",14,"246,568","244,173","246,429","2,395","4,813","89,145","152,606",326,"3,991","5,350",970,499,21,"756,957","12,098,821","11,006,121","1,092,700"
13/08/2021,"162,820","617,166",1.49%,"9,180","9,150",30,"255,748","253,323","255,579","2,425","5,088","89,964","160,696",275,819,"8,090","1,999",511,20,"1,705,584","13,256,472","12,064,617","1,191,855"
14/08/2021,"150,579","569,731",1.71%,"9,716","9,710",6,"265,464","261,463","265,289","2,431","5,437","96,985","163,038",349,"7,021","2,342","3,510",579,18,"727,902","13,772,920","12,500,947","1,271,973"
15/08/2021,"157,983","617,513",1.55%,"9,580","9,574",6,"275,044","271,037","274,863","2,437","5,774","102,504","166,762",337,"5,519","3,724","2,470",589,18,"612,974","14,434,017","13,078,340","1,355,677"
16/08/2021,"147,657","610,463",1.42%,"8,652","8,644",8,"283,696","279,681","283,507","2,445","6,141","106,977","170,574",367,"4,473","3,812","2,422",590,22,"508,244","14,666,708","13,287,434","1,379,274"
17/08/2021,"167,734","644,262",1.49%,"9,605","9,595",10,"293,301",,"293,102","2,455","6,472","111,308","175,521",331,"4,331","4,947","4,465",600,20,"592,104","15,271,562","13,869,728","1,401,834"
18/08/2021,"210,030","676,379",1.28%,"8,656","8,644",12,"301,957",,"301,746","2,467","6,770","115,059","180,128",298,"3,751","4,607","5,825",654,20,"395,979","15,518,869","14,032,444","1,486,425"
19/08/2021,"201,443","643,418",1.66%,"10,654","10,639",15,"312,611",,"312,385","2,482","7,150","120,059","185,402",380,"5,000","5,274","6,407",660,27,"398,031","15,922,537","14,359,868","1,562,669"
